,photoid,uid,unickname,datetaken,dateuploaded,capturedevice,title,description,usertags,machinetags,longitude,latitude,accuracy,pageurl,downloadurl,licensename,licenseurl,serverid,farmid,secret,secretoriginal,ext,marker
10,30431,34427469121@N01,George,2004-03-05 15:03:52.0,1083960838,FUJIFILM+FinePix+S5000,Space+age,This+is+the+little+lift+which+goes+up+the+Space+Needle+in+Seattle.+Karen+and+I+thought+it+looks+very+space+age+for+1962.,"elevator,seattle,space+needle,space+travel",,-122.351903,47.619673,13.0,http://www.flickr.com/photos/34427469121@N01/30431/,http://farm1.staticflickr.com/1/30431_37ed41d3fb.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,37ed41d3fb,37ed41d3fb,jpg,0
11,30872,34427466731@N01,striatic,2004-05-08 23:56:42.0,1084085802,,vancouver+panorama+thumbnail,yes+..+this+photo+is+unreasonably+small+%7E+so+go+here.%0D%0A%0D%0A%3Ca+href%3D%22http%3A%2F%2Fphotos1.flickr.com%2F30872_7b9963df98_o.jpg%22%3EFull+Sized+Image%3C%2Fa%3E+%0D%0A--,"bc,british+columbia,canada,landscape,my+%27good%27+images,outdoor,panorama,photo,sunset,unfound,vacation,vancouver",,-123.140538,49.2663,16.0,http://www.flickr.com/photos/34427466731@N01/30872/,http://farm1.staticflickr.com/1/30872_7b9963df98.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,7b9963df98,7b9963df98,jpg,0
12,33811,34427466731@N01,striatic,2004-04-24 12:16:29.0,1084570173,Canon+PowerShot+A40,Toronto+..+you+can+see+my+house+from+here%21+%7Bnotes%7D,%3Ca+href%3D%22http%3A%2F%2Fflickr.com%2Fphotos%2F33811_34427466731%40N01_o.jpg%22%3EFull+Sized+Image%3C%2Fa%3E%0D%0A%0D%0Asource+image+courtesy+of+%3Ca+href%3D%22http%3A%2F%2Fwww.flickr.com%2Fpeople%2F41894181607%40N01%22%3Erekall%3C%2Fa%3E.,"landscape,neill+wycik,notes,outdoor,photo,snagged,toronto",,-79.387282,43.641837,16.0,http://www.flickr.com/photos/34427466731@N01/33811/,http://farm1.staticflickr.com/1/33811_aa28784040.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,aa28784040,aa28784040,jpg,0
13,34669,35034359904@N01,quinnums,2004-05-17 00:44:29.0,1084779869,,the+warp+core+breach-+mindbendingly+alcoholic,replete+with+dry+ice+smokiness,"los,star+trek,vegas",,,,,http://www.flickr.com/photos/35034359904@N01/34669/,http://farm1.staticflickr.com/1/34669_4bce3783a8.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,4bce3783a8,4bce3783a8,jpg,0
14,35195,40732544590@N01,Jordan+W,2004-05-18 17:53:19.0,1084927999,,Minging+2,Again+on+the+bus%2C+again+with+the+bored,me,,,,,http://www.flickr.com/photos/40732544590@N01/35195/,http://farm1.staticflickr.com/1/35195_25c63b6281.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1,1,25c63b6281,25c63b6281,jpg,0
15,35518,34427469121@N01,George,2004-05-19 15:54:23.0,1085010861,FUJIFILM+FinePix+S5000,Talking+to+MY+ACTUAL+SISTER,Yay%21+The+inimitable+%3Ca+href%3D%22http%3A%2F%2Fwww.flickr.com%2Fpeople%2F36330829377%40N01%22%3Escratchin%27+mama+boobie%3C%2Fa%3E.,sister,,,,,http://www.flickr.com/photos/34427469121@N01/35518/,http://farm1.staticflickr.com/1/35518_06b3697f00.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,06b3697f00,06b3697f00,jpg,0
16,36370,34427465634@N01,Emily,2004-05-21 20:34:36.0,1085196876,,gold+field,Somewhere+between+Albany+and+Utica%2C+travelling+west.,"cameraphone,field,outdoors,unfound",,,,,http://www.flickr.com/photos/34427465634@N01/36370/,http://farm1.staticflickr.com/1/36370_87a7864ca9.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1,1,87a7864ca9,87a7864ca9,jpg,0
17,36921,34427469121@N01,George,2004-05-23 12:07:10.0,1085353582,FUJIFILM+FinePix+S5000,Poppies+%26+Foxglove,Kara+and+I+were+driving+in+the+East+Van+suburbs+and+saw+these+pretty+flowers.+So%2C+what+else+could+I+do+but+take+a+photo%3F%3F+Nothing%21,"flora,flowers,home,spring",,,,,http://www.flickr.com/photos/34427469121@N01/36921/,http://farm1.staticflickr.com/1/36921_e7f2958178.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,e7f2958178,e7f2958178,jpg,0
18,37004,35034359904@N01,quinnums,2004-05-15 14:45:38.0,1085385574,Canon+PowerShot+A40,the+two+finished+teapots,from+the+yixing+pottery+workshop,"pottery,teapot,yixing",,,,,http://www.flickr.com/photos/35034359904@N01/37004/,http://farm1.staticflickr.com/1/37004_eeb8ebd2cd.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,eeb8ebd2cd,eeb8ebd2cd,jpg,0
19,37034,34427466731@N01,striatic,2004-05-22 07:44:00.0,1085400628,NIKON+E950,PORTAL+%7E+NEILL+WYCIK+%7Bnotes%7D,%3Cb%3EPORTAL%3C%2Fb%3E%3A+NEILL+WYCIK+%7E+where+i+live+%7E+use+this+as+a+portal+to+%3Ca+href%3D%22http%3A%2F%2Fwww.flickr.com%2Fphotos%2Fstriatic%2Ftags%2Fneillwycik%2F%22%3ENeill+Wycik%3C%2Fa%3E+and+%3Ca+href%3D%22http%3A%2F%2Fwww.flickr.com%2Fphotos%2Fstriatic%2Ftags%2Fapartment%2F%22%3EMy+Apartment%3C%2Fa%3E%0D%0A%0D%0A%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%7C%0D%0A%0D%0Amy+lights+%7E+Hubert+Gerrard+and+Reginald+T.+Mutual%0D%0A%0D%0Aa+very+foggy+morning%2C+so+the+lights+stayed+on.+the+clean+gray+and+green+of+spring.%0D%0A%0D%0Afor+the+cityProject%7EglowProject+%3A+%3Ca+href%3D%22http%3A%2F%2Fwww.flickr.com%2Fgroups%2Fcityproject%2F%22%3Ewww.flickr.com%2Fgroups%2Fcityproject%2F%3C%2Fa%3E,"canada,cityproject,coop,glowproject,landscape,m5b1g7,my+%27good%27+images,neill+wycik,notes,ontario,outdoor,photo,portal,toronto,unfound",,-79.3772,43.6603,16.0,http://www.flickr.com/photos/34427466731@N01/37034/,http://farm1.staticflickr.com/1/37034_09fbb1fbd1.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,09fbb1fbd1,09fbb1fbd1,jpg,0
20,37097,34427469121@N01,George,2004-05-23 19:02:37.0,1085419289,FUJIFILM+FinePix+S5000,Post+no+bills,A+local+artistic+person+painted+a+quaint+little+duck+scene.,"duck,graffiti,post+no+bills,vancouver",,-123.118264,49.277191,16.0,http://www.flickr.com/photos/34427469121@N01/37097/,http://farm1.staticflickr.com/1/37097_b2ba748acb.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,b2ba748acb,b2ba748acb,jpg,0
21,37396,37912375204@N01,Schlomo+Rabinowitz,2004-05-24 17:57:08.0,1085506986,SONY+DSC-V1,Suspended+Roof,Kind+of+bothers+me+that+it%27s+suspended+up+there.,"san+francisco,unfound,urban",,,,,http://www.flickr.com/photos/37912375204@N01/37396/,http://farm1.staticflickr.com/1/37396_34907fe2a1.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,34907fe2a1,34907fe2a1,jpg,0
22,37398,37912375204@N01,Schlomo+Rabinowitz,2004-05-24 19:41:53.0,1085507069,SONY+DSC-V1,King+Diner,The+food+is+only+%22king%22+at+3+in+the+morning.++The+rest+of+the+time%2C+they+are+more+like+%22joker%22+than+anything+else.++%0D%0A%0D%0AAccidently+uploaded+this+one+too+small%2C+but+then+again%2C+it+matches+the+food.,"food,san+francisco,unfound,urban",,,,,http://www.flickr.com/photos/37912375204@N01/37398/,http://farm1.staticflickr.com/1/37398_b5978ec88a.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,b5978ec88a,b5978ec88a,jpg,0
23,37587,34427466731@N01,striatic,2004-05-11 02:00:33.0,1085572910,NIKON+E950,GlowProject+%7E+E-Town+Edition+%7Bnotes%7D,May+12th%2C+and+snowing+in+Edmonton+%7E+i+took+this+shot+out+the+front+door+of+the+house.,"alberta,canada,cityproject,edmonton,glowproject,landscape,night,notes,outdoor,photo,snow,unfound,vacation",,-113.565075,53.535233,16.0,http://www.flickr.com/photos/34427466731@N01/37587/,http://farm1.staticflickr.com/1/37587_edd525d290.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,edd525d290,edd525d290,jpg,0
24,37862,37912375204@N01,Schlomo+Rabinowitz,2004-05-22 18:26:31.0,1085612348,SONY+DSC-V1,pickle+project,The+project+is+easy%3A%0D%0A%0D%0ABuy+a+pickle+in+a+bag+%28I+prefer+one+of+the+kosher+veriety%29%3B+take+pictures+of+people+with+said+pickle.%0D%0A%0D%0AI+was+a+little+drunk+at+a+BBQ+when+I+came+up+with+this.++I+apologize+in+advance.,"pickle+project,unfound",,,,,http://www.flickr.com/photos/37912375204@N01/37862/,http://farm1.staticflickr.com/1/37862_5837c8e1a9.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,5837c8e1a9,5837c8e1a9,jpg,0
25,38129,34427469121@N01,George,2004-05-06 08:22:22.0,1085680565,FUJIFILM+FinePix+S5000,A+view+from+my+apartment,To+the+mountains.,"apartment,vancouver",,,,,http://www.flickr.com/photos/34427469121@N01/38129/,http://farm1.staticflickr.com/1/38129_61efb70cac.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,61efb70cac,61efb70cac,jpg,0
26,38408,35034359904@N01,quinnums,2003-04-26 22:54:09.0,1085731968,Canon+PowerShot+A40,reading+rules+group+picture,we+were+meeting+on+brin%27s+transparent+society,"group,privacy,reading,rules",,,,,http://www.flickr.com/photos/35034359904@N01/38408/,http://farm1.staticflickr.com/1/38408_da5bd4c1f9.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,da5bd4c1f9,da5bd4c1f9,jpg,0
27,38414,35034359904@N01,quinnums,2003-06-07 18:29:53.0,1085732106,Canon+PowerShot+A40,all+the+russells,my+grandfarther+died+today.+this+is+the+last+family+shot+we+all+have+together.,family,,,,,http://www.flickr.com/photos/35034359904@N01/38414/,http://farm1.staticflickr.com/1/38414_6fe897a828.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,6fe897a828,6fe897a828,jpg,0
28,38425,35034359904@N01,quinnums,2003-06-29 12:11:06.0,1085733440,Canon+PowerShot+A40,meh%2C+that%27s+so-so,ada+is+unimpressed+by+whatever+it+is+she%27s+seeing.,"ada,baby",,,,,http://www.flickr.com/photos/35034359904@N01/38425/,http://farm1.staticflickr.com/1/38425_7422909587.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,7422909587,7422909587,jpg,0
29,38662,44124266863@N01,dalydose,2004-05-28 14:24:48.0,1085789729,Canon+EOS+DIGITAL+REBEL,Flowers+and+Building,%40+Chapman+University,"campus,canon+digital+rebel,chapman+%26+orange,flowers",,,,,http://www.flickr.com/photos/44124266863@N01/38662/,http://farm1.staticflickr.com/1/38662_1ae6b78efb.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1,1,1ae6b78efb,1ae6b78efb,jpg,0
30,38799,35034359904@N01,quinnums,2004-05-29 02:09:15.0,1085821755,,fam,taken+around%2C+i+think%2C+94,"quinn,russell,wendy",,,,,http://www.flickr.com/photos/35034359904@N01/38799/,http://farm1.staticflickr.com/1/38799_c1f1330b36.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,c1f1330b36,c1f1330b36,jpg,0
31,38810,35034359904@N01,quinnums,2004-05-29 02:22:29.0,1085822549,,scruffy,this+was+our+last+day+out+in+the+bush-+after+this+it+was+all+hunting+lodges+and+airports.+i+wanted+to+capture+what+we+looked+like+at+the+end%2C+before+the+shower+and+the+nice+beds.,africa,,,,,http://www.flickr.com/photos/35034359904@N01/38810/,http://farm1.staticflickr.com/1/38810_43e90134e0.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,43e90134e0,43e90134e0,jpg,0
32,39961,34427465504@N01,Trinity,2004-05-31 20:06:38.0,1086059198,,My+Flickr+contacts+%28with+notes%29,My+contacts+as+of+May+31%2C+2004.++More+notes+are+forthcoming+%3A%29,"2004,contact,friend,unfound",,-93.440796,38.760236,16.0,http://www.flickr.com/photos/34427465504@N01/39961/,http://farm1.staticflickr.com/1/39961_a75792f7ec.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,a75792f7ec,a75792f7ec,jpg,0
33,40220,37912375204@N01,Schlomo+Rabinowitz,2004-05-31 17:59:16.0,1086108354,SONY+DSC-V1,Pickle+and+Ice+Cream,Part+of+the+Pickle+Project.,"notes,pickle+project,unfound",,,,,http://www.flickr.com/photos/37912375204@N01/40220/,http://farm1.staticflickr.com/1/40220_0743763e2b.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,0743763e2b,0743763e2b,jpg,0
34,40279,34427469121@N01,George,2004-05-31 12:49:56.0,1086115389,FUJIFILM+FinePix+S5000,Street+art,There+has+been+a+spate+of+orca+public+art+recently+in+both+Vankie+and%2C+we+discovered%2C+in+Victoria.+%0D%0A%0D%0AThis+one+is+particularly+bad.%0D%0A%0D%0A%3Ca+href%3D%22http%3A%2F%2Fwww.orcasinthecity.com%2F%22%3Ewww.orcasinthecity.com%2F%3C%2Fa%3E,"mexican,orca",,,,,http://www.flickr.com/photos/34427469121@N01/40279/,http://farm1.staticflickr.com/1/40279_aacb7745dc.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,aacb7745dc,aacb7745dc,jpg,0
35,40280,34427469121@N01,George,2004-05-31 12:50:04.0,1086115393,FUJIFILM+FinePix+S5000,Street+art+close+up,See+what+I+mean%3F,"facial+hair,favcol,mexican,orca,pink,weird",,,,,http://www.flickr.com/photos/34427469121@N01/40280/,http://farm1.staticflickr.com/1/40280_561259058e.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,561259058e,561259058e,jpg,0
36,40474,41894193248@N01,OpenSkyMedia,2004-05-23 19:35:30.0,1086138139,NIKON+E5400,Small+Lake+at+Sunset,Took+a+pic+of+this+small+lake+around+sunset.,"lake,sunset,water",,,,,http://www.flickr.com/photos/41894193248@N01/40474/,http://farm1.staticflickr.com/1/40474_5b44de7405.jpg,Attribution-NoDerivs License,http://creativecommons.org/licenses/by-nd/2.0/,1,1,5b44de7405,5b44de7405,jpg,0
37,40583,34427466731@N01,striatic,2003-04-18 17:11:31.0,1086146634,NIKON+E950,Chess+Set,a+chess+set+that+erin%27s+father+made+for+her.+%0D%0A%0D%0Abased+on+the+lewis+set+%7E+a+very+old+chess+set.,"canada,carving,chess,fred+sneath,indoor,m5b1g7,ontario,photo,sculpture,still+life,toronto,unfound",,-79.3772,43.6603,16.0,http://www.flickr.com/photos/34427466731@N01/40583/,http://farm1.staticflickr.com/1/40583_2ee5567400.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,1,1,2ee5567400,2ee5567400,jpg,0
38,40906,40732544590@N01,Jordan+W,2004-06-02 16:40:13.0,1086219613,,Blurry,Just+a+quick+photo,,,,,,http://www.flickr.com/photos/40732544590@N01/40906/,http://farm1.staticflickr.com/1/40906_13747aed7d.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1,1,13747aed7d,13747aed7d,jpg,0
39,41106,34817627804@N01,Mouse,2004-06-03 05:49:23.0,1086266963,,Mouse+House%2C+Cambridge%2C+NZ,%3Ca+href%3D%22http%3A%2F%2Fwww.flickr.com%2Fgroups_topic.gne%3Fid%3D2351%22%3E%0D%0AClick+here+for+the+glowproject%3C%2Fa%3E%0D%0A%0D%0A%28next+time+I%27ll+use+a+tripod%29,"cambridge,cityproject,glowproject,landscape,mouse,night,office,outdoor,topv111",,,,,http://www.flickr.com/photos/34817627804@N01/41106/,http://farm1.staticflickr.com/1/41106_69bc678d75.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,69bc678d75,69bc678d75,jpg,0
40,41576,34817627804@N01,Mouse,2004-06-04 01:29:09.0,1086337749,,Drive%3A+5pm%3A+04+June+2004%3A+002,SH1+through+Cambridge,"cambridge,mouse,newzealand,rain",,,,,http://www.flickr.com/photos/34817627804@N01/41576/,http://farm1.staticflickr.com/1/41576_6ae53da95d.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,6ae53da95d,6ae53da95d,jpg,0
41,41577,34817627804@N01,Mouse,2004-06-04 01:29:32.0,1086337772,,Drive%3A+5pm%3A+04+June+2004%3A+003,%22The+Pink+Church%22+Tourist+Centre+%28once+was+All+Saints%29%2C+Cambridge%2C+SH1,"cambridge,church,mouse,newzealand,pink,rain,rouge,top-v111",,,,,http://www.flickr.com/photos/34817627804@N01/41577/,http://farm1.staticflickr.com/1/41577_4171e6d52b.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,4171e6d52b,4171e6d52b,jpg,0
42,42023,44124291728@N01,gforbes,2004-06-04 12:18:01.0,1086376681,,Parc+Guell%2C+Barcelona,A+house+where+I+believe+Gaudi+lived+whilst+building+the+amazing+Parc+Guell...,"barcelona,gaudi,parc+guell",,,,,http://www.flickr.com/photos/44124291728@N01/42023/,http://farm1.staticflickr.com/1/42023_a8fc9064a3.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,1,1,a8fc9064a3,a8fc9064a3,jpg,0
43,42112,34427469121@N01,George,2004-04-10 12:12:35.0,1086393592,FUJIFILM+FinePix+S5000,By+the+lake,Sandy%2C+Jen+%26+Tamsin%27s+lower+legs.,"friends,seattle,shoes",,,,,http://www.flickr.com/photos/34427469121@N01/42112/,http://farm1.staticflickr.com/1/42112_0d94373b8e.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1,1,0d94373b8e,0d94373b8e,jpg,0
44,42376,44124266863@N01,dalydose,2004-06-04 20:44:29.0,1086423571,Canon+EOS+DIGITAL+REBEL,%22Torn%22+starring+Elizabeth,Elizabeth+is+in+the+middle+and+she%27s+my+friend%21,"canon+digital+rebel,elizabeth,people,theatre,torn",,,,,http://www.flickr.com/photos/44124266863@N01/42376/,http://farm1.staticflickr.com/1/42376_469632f20d.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1,1,469632f20d,469632f20d,jpg,0
45,42826,29847284807@N01,fboosman,2004-06-06 08:00:23.0,1086534023,,With+Cameron+in+Pompeii,My+son+Cameron+and+I+at+Pompeii%2C+2001.,"2001,cameron+boosman,frank+boosman,me,photo,unfound",,,,,http://www.flickr.com/photos/29847284807@N01/42826/,http://farm1.staticflickr.com/1/42826_0131df024d.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1,1,0131df024d,0131df024d,jpg,0
46,43072,34427465504@N01,Trinity,2004-06-05 18:12:47.0,1086574087,FUJIFILM+FinePix+S5000,Rainy+Becca,We+got+out+of+the+car+and+it+just+started+to+pour+%3Ap,"2004,hair,long+hair,me,photo,rebecca,trinity,unfound",,-93.721479,38.773433,16.0,http://www.flickr.com/photos/34427465504@N01/43072/,http://farm1.staticflickr.com/1/43072_5f300f97ae.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,5f300f97ae,5f300f97ae,jpg,0
47,43073,34427465504@N01,Trinity,2004-06-06 13:54:02.0,1086574091,FUJIFILM+FinePix+S5000,Kansas+City+Zoo+%231,This+is+an+orangutan+at+the+KC+Zoo.,"2004,orangutan,photo,unfound,zoo",,-94.529864,39.006595,16.0,http://www.flickr.com/photos/34427465504@N01/43073/,http://farm1.staticflickr.com/1/43073_98cb47d611.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,98cb47d611,98cb47d611,jpg,0
48,43074,34427465504@N01,Trinity,2004-06-06 11:59:24.0,1086574094,FUJIFILM+FinePix+S5000,Glasscock+Jewelers,unknown+b3ta+member%3F,"2004,photo,unfound,visit",,-93.734144,38.771199,16.0,http://www.flickr.com/photos/34427465504@N01/43074/,http://farm1.staticflickr.com/1/43074_1ac30fc851.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,1ac30fc851,1ac30fc851,jpg,0
49,43076,34427465504@N01,Trinity,2004-06-06 13:41:37.0,1086574101,FUJIFILM+FinePix+S5000,KC+Zoo+%233,Apparently+this+goat+didn%27t+feel+tall+enough+when+standing+on+the+ground.,"2004,goat,photo,unfound",,-94.529864,39.006595,16.0,http://www.flickr.com/photos/34427465504@N01/43076/,http://farm1.staticflickr.com/1/43076_c7f9b51c2c.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1,1,c7f9b51c2c,c7f9b51c2c,jpg,0
