imdbid,videoid,description
tt1707386,ocDL_b6BRE4,"Marius and Cossette pine for each other, leaving Éponine in the cold."
tt1707386,0BM-Q3BDrkw,Marius mourns his fallen comrades.
tt1707386,9jfRE_FljrE,Javert attacks Jean Valjean.
tt1707386,iLN9GLRC5is,The Thénardiers swindle guests at their inn.
tt1707386,ulJXiB5i_q0,Fantine sings of her past and the horror of her current desperation.
tt0448115,Ok63vpXNhNc,Freddy helps Shazam test out his new superpowers.
tt6343314,OfLhd_wJux8,Adonis seizes victory over Viktor.
tt6343314,TGghm3K1NXQ,Adonis Johnson and Viktor Drago square off for the Heavyweight Belt.
tt6343314,u0RqfETo2ok,"Adonis Johnson fights Danny ""Stuntman"" Wheeler for the WBC World Heavyweight Championship."
tt6343314,oaKjYmfK_Pw,Adonis tells Rocky he wants to accept the fight with Viktor Drago.
tt6343314,oqGij9ylbAk,"Ivan Drago trains his son, Viktor."
tt5013056,QT2Anb4MY38,The Shivering Soldier fights Dr. Dawson for the boat's wheel.
tt0448115,jbvQvJV_97M,Shazam tricks Envy into coming out of Dr. Sivana.
tt0448115,UAYL8R2ZPuI,Shazam stops an armed robbery at a convenient store.
tt0448115,g8pt9OoaPlY,Dr. Sivana demands Shazam's powers.
tt0448115,AONuDilRd5k,Shazam inducts his family into superherodom.
tt0448115,_nSQhWq7etg,The Shazam Family battles Dr. Sivana and the Seven Deadly Sins.
tt0448115,-W8pOz1fsD0,Shazam brawls with Dr. Sivana and one of the Seven Deadly Sins.
tt0448115,ChIQpmBLPAo,Dr. Sivia unleashes the Seven Deadly Sins.
tt0448115,GC6ksHacdXI,"Dr. Sivana gets a visit by Mister Mind, an alien worm."
tt0109288,lsa5PDPgJmI,Darryl gives up his life as a hero and gets a job at McDonald's.
tt0109288,MGBHNeYbsbg,"Darryl delivers a woman's baby in an elevator, cementing himself as a true hero."
tt0109288,-mXoZz1dqMQ,Blankman and Other Guy are honored for their heroism.
tt0109288,Jgye_cEhfGQ,Blankman makes the community a safer place.
tt0109288,-jpEsYBH3g4,Blankman and Kevin try to save Mayor Harris before the bomb goes off.
tt0109288,ljAdSzBv0ug,"While trying to stop a bank robbery, Blankman gets taken hostage."
tt0109288,RFR3AJ-jE88,"In his first attempt at vigilantism, Darryl saves a helpless woman in an alley."
tt0109288,RLbry-3z8yQ,Blankman and Other Guy attempt to rescue Mr. Stone and Kimberly from Minelli.
tt0109288,sM1I11qUM44,Blankman and Other Guy face off against Minelli and his goons.
tt0109288,RxwUv1BcPwg,Blankman gives Kimberly a ride on his wacky motorcycle.
tt6343314,sSc4Y4Z9lsk,Ivan Drago challenges Rocky's protege to a grudge match.
tt6343314,9wCiCJ7KDs8,Adonis and Viktor have a rematch for the WBC World Heavyweight Championship.
tt6343314,ttiEgVcV-Xo,"Adonis proposes to his girlfriend, Bianca."
tt6343314,b2MEP246DxY,Adonis refuses to go down without a fight.
tt5013056,S3moqQqx3Nk,The Moonstone rescues soldiers from a burning oil slick.
tt5013056,bgS0GPQhzHg,"Royal Navy Commander Bolton spots ""home"" in the form of heroic naval and civilian vessels coming for rescue."
tt5013056,TIEtN-jVDbg,The soldiers begin to succumb to despair.
tt5013056,2W3KDB0yHYM,Stranded soldiers step out of their lines when dive bomber planes start dropping bombs.
tt5013056,K9j6xEBFek4,Stukas bomb a British evacuation ship.
tt5013056,c5mAaBl_qqk,A blind man imparts his meaning of victory to the soldiers as they board the train home.
tt5013056,WygmbuU_78c,Commander Bolton is helpless to save the medical ship.
tt5013056,X5_GpmLuea4,Tommy escapes a German ambush and arrives at the beach where thousands of troops are waiting to be evacuated.
tt5013056,7ycVIGqnLO8,Farrier chases down a stuka over the English Channel.
tt7343762,cg49Y3jpZsQ,Max flies the drone home before his dad notices it's missing.
tt7343762,NYRHTYWWiGU,The boys make the mistake of trying to cross the highway.
tt7343762,mlc2UyZdalQ,The boys consult the internet and Thor's parents' doll for kissing practice advice.
tt7343762,4-BWFsE_TQE,"When Benji refuses to sell drugs to the kids, Max takes matters into his own hands."
tt7343762,i_Rupd9NU4E,The boys confront Hannah and Lily at a playground to get their drone back.
tt7343762,_0gn0zQx4_s,"The boys escape on bike from Lily, who chases after them on foot."
tt7343762,cV9dlsOzyVc,A tired police officer doesn't want to deal with the boys' antics.
tt7343762,mcerWHb94yo,"Thor sings ""I Want to Know What Love Is"" as the boys grow apart."
tt7343762,uQ_nGVp6x6U,The boys come across unknown artifacts after Thor steals Hannah's purse.
tt7343762,UECge-Vi8VA,The boys make a deal with Claude.
tt6095472,j71oHN1i2pU,The animals try to stop Zeta's super-weapon with Silver's super-string.
tt6095472,DXFN60x3vP4,Red & Silver race for their lives in an ice-ball track.
tt6095472,YvL_-Awg2gg,The hatchlings receive a slithering surprise.
tt6095472,WzAHXnFWd5U,The gang's costume inadvertently triggers a dance-off.
tt6095472,e198XToyAkk,"Garry provides the team with inventive, finger-licking gadgets."
tt6095472,A6d0qIZY3Hg,Red and Leonard gather a team of specialists.
tt6095472,_bJYiiCvPW4,Zeta fires a giant ice ball at the angry birds' island.
tt6095472,WavZVQM3U00,Things get messy in the bathroom when the eagle costume pees alongside one of Zeta's guards.
tt6095472,480Hw45m9v8,Mighty Eagle admits the truth about his and Zeta's relationship.
tt6095472,WncnbHD-JXI,Zeta struggles to make her frozen home livable.
tt2709692,MmKlIGkxGyM,The Grinch gives back everything he stole from Whoville.
tt2709692,eVmYZJQxawo,"Dressed as Santa, The Grinch steals Christmas from Whoville."
tt2709692,HGZotWs54rU,The Grinch has a difficult time collecting reindeer for his Christmas heist.
tt2709692,NjUtH1NBFyY,The Grinch's plan to catapult Whoville's tree misfires in a big way.
tt2709692,DmXp6Pm-uLI,The Whos' untainted joy and love causes an awakening within The Grinch.
tt2709692,8coCtKWysGk,The Grinch tries to steal Santa's sleigh from the wrong house.
tt2709692,BiPY5_H9EIw,Carolers hound The Grinch all the way through Whoville.
tt2709692,ZhqHIrO4ePo,Fred and Max complicate the Grinch's plans.
tt2709692,XMGoOSCbul0,The Grinch gets ready for a miserable day with Max's help.
tt2709692,96pSGRvBg3I,The Grinch has a thrilling sleigh ride with Max & Fred.
tt5109784,-r_-EnupRXo,Him takes Mother's heart to replace his crystal object.
tt5109784,TcBlM3VLePM,The wake for Man and Woman's son brings a number of disorderly guests.
tt5109784,nxc6kwBYFSM,"Mother's baby is worshipped, ritualistically murdered and eaten."
tt5109784,nXSfDMvXAxw,"Mother grieves for her slaughtered son, but her husband gives her no comfort."
tt5109784,eGXnEeW_KdA,"Mother finds her house transformed into a brutal, authoritarian police state."
tt5109784,rQ3Qokn9t_w,"The fans riot, growing ever more radical and zealous."
tt5109784,iJDnG2RAlzk,Mother burns down the house to end all her suffering.
tt5109784,iPcAns5pKVw,Mother delivers her baby amid complete chaos.
tt5109784,iGsce-w4TtY,Soldiers eradicate radicals in the battlefield of Mother's home.
tt5109784,lyd4tC8LH1s,Man and Woman's sons have a Cain & Abel-esque fight.
tt0077288,2LwWmJojqvM,Laurent and Andrea deal with their parents' reactions to the news of their engagement.
tt0077288,tXhTaL04ByA,"Albin is insulted by a man at the bar during his walking practice, so Renato confronts him."
tt0077288,mBiT0g4TIYc,Simon is forced to dress in drag in order to escape the club undetected.
tt0077288,cW7AkQihsa8,"Renato teaches Albin how to act like a real man, starting with buttering his toast."
tt0077288,db1o8mTCBXU,Albin decides to leave Renato for good.
tt0077288,JYwvFPjJ7dM,Jacob acts the part of a real butler and Albin tries to act straight.
tt0077288,6RbMqRpNqmY,Albin frustrates Renato with his distrust.
tt0077288,RdpvBc4bahI,Albin's role as the mother comes to a screeching halt when the biological mother shows up.
tt0077288,9lqv-q15y1c,Albin enters the room in drag and introduces himself as the mother.
tt0077288,ATNjQgr7LXc,Renato tells Albin that Laurent is getting married to a woman.
tt0069995,TfKw3gvxff0,John chases what he believes to be the ghost of his drowned daughter.
tt0069995,ySINkZRkHi0,John spots a child who reminds him of his late daughter.
tt0069995,LWz_6w0paEg,"Heather repeats the name of Laura's husband, John, and goes into a trance."
tt0069995,n-2Lxsj7sf4,A loose board crashes into John's scaffolding while he's restoring a church.
tt0069995,JL_tj5M1o-c,John has a fatal premonition about his daughter.
tt0069995,r0iSxOsPGl8,Heather foresees John's fate.
tt0069995,HFTqyXV9Vio,Heather 'sees' Laura's deceased daughter.
tt0069995,CMMzjgpnLGc,A drowning victim reminds John about his late daughter.
tt0069995,D2JzjzTWMxw,John reports his missing wife to Inspector Longhi who believes him responsible.
tt0069995,9zcAqShAXPo,John finally corners the ghost of his daughter.
tt0070666,htWhh0DIFgk,Serpico witnesses the brutality of his superior officers.
tt0070666,9_n15K7rv1Y,Officer Frank Serpico is rushed through the hospital in critical condition.
tt0070666,POLkdKBw3LM,Serpico's stress takes a toll on his and Laurie's relationship.
tt0070666,_1tCmEtAbnw,A disillusioned Serpico rejects the gold badge that he always wanted.
tt0070666,4WXN2HQ7PQ0,"Serpico testifies before the Knapp Commission, a government inquiry into NYPD police corruption."
tt0070666,n0PS-QVcoJo,Serpico and Lombardo break up a police racket.
tt0070666,lYu_8OE3sCE,Serpico's fellow officers don't back him up on a drug raid.
tt0070666,0frXMGxB0Ko,Serpico watches in disbelief as Rubello assaults a man for bribe money.
tt0070666,fluKR9XbEjQ,Serpico's fellow officers try to intimidate him into silence.
tt0070666,mPDFATjS8l0,Serpico nearly gets shot by a fellow officer.
tt2561572,-1W4xHNKvAk,Darnell pretends to be several made-up prisoners to help James prepare to go to jail.
tt2561572,x4IKGG_2L6I,James and Darnell steal the master records from Martin's office.
tt2561572,PvMk6sjZlTU,"With help from Darnell, James uses Capoeira to defeat Martin's thugs."
tt2561572,RaicjdiN8ag,"Assuming he's been to prison because he's black, James asks Darnell to help him prepare for life behind bars."
tt2561572,M7CL4l-bu68,"Darnell makes up the story of how he was sent to prison, which is suspiciously similar to the plot of ""Boyz N the Hood""."
tt2561572,ThIBEo7fsSQ,James shows that he's still worth a million dollars.
tt2561572,dhJPm7NolLc,Darnell tries to teach James how to look tough in prison.
tt0408306,MgL18hwJZ0A,"After an explosive device fails, Hans uses a grenade to assassinate their target."
tt0408306,ZvvQ3CLveAA,Avner and Robert assassinate Wael Zwaiter.
tt0408306,PMdokZIn2_s,"Avner and his team carry an assassination, using a telephone as an explosive."
tt0408306,zuFtCz663GQ,Avner makes love to his wife while having a PTSD flashback.
tt0408306,CToeYdx6SsU,Soldiers disguise themselves as local women to carry out a brutal raid.
tt0408306,0bR6pUOhZo4,Avner and Ephraim discuss the assassinations they carried out together.
tt0408306,WzmAy1QyIH8,"Avner ponders the horrible attacks at the Munich Olympics, known as Black September."
tt0408306,w3trh6DMpHI,Avner and Steve's last assassination goes awry when they hit the wrong target.
tt0408306,YoAV0xF7A2U,Avner and Ali discuss their positions on the conflict between Israel and Palestine.
tt0408306,azRJpVsJ7AM,Tensions mount when a group of PLO members enter Avner's safehouse.
tt7547410,hck3C2VMRzk,Swiper chases down Dora and steals her map.
tt7547410,YI8DWdXhg5Q,Dora helps Sammy warm up to doing her business.
tt7547410,Ajh84X59SH4,"Stuck in a flooding room, the group brainstorms a way out."
tt7547410,Nhj2rSOUjwU,Dora parties with her friends over the end credits.
tt7547410,rQABiLDqdVc,Parapata begins collapsing after Swiper angers the Gods.
tt7547410,vXQlXYcAksI,"After following Dora's team, Alejandro attempts to steal the treasure."
tt7547410,4IbNz68R49c,Boots helps Dora and her friends escape from Viper.
tt7547410,mPWo1Dsti3c,The group holds on for dear life when their hallway turns into a spike trap.
tt7547410,8mDtsn0yrsA,"Dora and her friends breathe in strange jungle spores, giving them vivid hallucinations."
tt7547410,F9vKkW_NNjE,Dora and Boots search for the ancient Incan city of Parapata.
tt0071402,36FYEbRBy48,A pair of muggers follow Paul from a diner into the subway.
tt0116225,cj5Mp68u2tY,There are no winners on the deathball court.
tt0116225,a3HOCIXroqQ,Snake rides the tsunami with the help of a Malibu surfer.
tt0116225,BMlHiDzHkSk,Cuervo forces Snake to shoot hoops or die.
tt0116225,8OilisaAv0I,Snake and Taslima find themselves trapped by the Surgeon General of Beverly Hills.
tt0116225,0tro-o0fOk4,"Double-crossed, Snake gets the ultimate revenge on the President and upon planet Earth."
tt0116225,_X8bBE1M994,Snake and his crew dive-bomb Cuervo in the ruins of Disneyland.
tt0116225,4N_0iP8TSRo,Snake takes on Cuervo only to get cornered by his men.
tt0116225,40p6dkKil_8,Snake makes a desperate escape in a helicopter.
tt0116225,WCf36CQxBfY,Snake speeds to not-so-sunny L.A. in a nuclear-powered submarine.
tt0116225,aEIaR1nlEoo,'Map to the Stars' Eddie is a little more than a tour guide.
tt0071402,DWFZ7v72HjA,Paul gives chase to the thug who shot him.
tt0071402,syjdYGc2A20,A group of thugs follow Joanna and her daughter Carol home.
tt0071402,S8avj5d8G6s,Paul arrives in Chicago and immediately sees a young woman being harassed.
tt0071402,Kbb4g4m68sc,Frank tells Paul to leave town or face prosecution.
tt0071402,MfV5DOQ9zac,Paul intervenes when he witnesses a mugging.
tt0071402,b_Wpqni4yMQ,"Walking alone at night, Paul comes face-to-face with an armed criminal."
tt0071402,L8JRx-zXz7w,Three thugs corner Paul in Central Park.
tt0071402,BYN41wGmP8U,Paul makes a pair of thieves pay for bringing a knife to a gun fight.
tt0071402,RkaM5GL1LTc,Paul and Aimes watch a mock gunfight at Old Tucson.
tt0092493,qDBjp7fdIVw,Sue and Walter open fire on the gangsters.
tt0092493,pikL2Z9sykc,Rico's gang threatens Walter to smoke out Crocodile Dundee.
tt0092493,2m2vmTtcCM8,Crocodile Dundee wins over street thugs with his knife throwing skills.
tt0092493,QCkiT56VSR4,Crocodile Dundee gets double-crossed in the subway.
tt0092493,crbN4daV5IU,Mick uses Sue's bra to lure Frank.
tt0092493,J7kO-7jEveA,Luis starts a bushfire to corner Crocodile Dundee.
tt0092493,qFKVhx9wBZ4,"A ""crocodile"" apparently kills Walter."
tt0092493,FX1FiZxQo7k,Crocodile Dundee sort of helps a would-be jumper.
tt0092493,g05nAeO-uKY,Mick calls Australia's animals to scare Rico's gang.
tt0092493,VmCRT88HTWE,Crocodile Dundee interrogates a gangster off the side of a building.
tt0082782,6JfQ82WowC8,The Miner gets creative when offing Sylvia.
tt0082782,f06qimixOOI,Hollis finds more than he is looking for while searching the mine for his friend.
tt0082782,rS_HIFTV7wM,The Miner attacks Sarah and T.J. on a minecart.
tt0082782,EodzQpkDFYo,"While setting up a prank to scare dance attendees, Happy gets a surprise of his own."
tt0082782,uifDWAJ6rBY,The Miner makes his mark on a lover.
tt0082782,QfSL-PSHTkQ,Happy recounts the mining accident that has haunted Valentine Bluffs for decades.
tt0082782,21Vg94SOqk0,The group makes their way up the service ladder only to have a grisly reunion with Howard.
tt0082782,acZDS8WDtHs,Mabel get a deadly valentine from the Miner.
tt0082782,Pku1UxtmkLM,Patty and Sarah race to escape the mine.
tt0082782,7H3XPETdtmc,"Fighting for their lives, T.J. and Sarah discover the Miner's identity."
tt0070016,3kvqIswrPhg,Fern sings to Wilbur about the joy their friendship brings her.
tt0070016,xE4RRKaCifU,Templeton enjoys a night at the fair.
tt0070016,6HboqAtIPA0,Wilbur befriends three of Charlotte's daughters.
tt0070016,kf1bu5sUXaU,Goose convinces Templeton to go to the fair.
tt0070016,nCm4_MJstGQ,Charlotte reveals to Wilbur that she won't make it back home to the farm.
tt0070016,SaRtVS1Fx1Q,A barbershop quartet sings in celebration of Wilbur at the county fair.
tt0070016,rPh94cOW-MI,Templeton retrieves Charlotte's egg sac to take back to the farm.
tt0070016,YHvTfLaOREg,"A Goose prompts Wilbur to speak his first words and then, sing."
tt0070016,__7NUrkFirA,Wilbur experiences fame after Charlotte writes a message about him in her web.
tt0070016,qQjdOtebYns,"After singing an optimistic song to Wilbur, Charlotte introduces herself."
tt0073440,OqyvMY1fcr4,"Winifred calms the crowd after the shooting with ""It Don't Worry Me."""
tt0073440,dbX-ekoWGWE,"Each woman who has been involved with Tom hopes that his song is dedicated to her, but he only has eyes for Linnea."
tt0073440,UVOJk8TFwpQ,A disparate group of people get in a huge car crash on the internstate.
tt0073440,ktCIr_DMGOI,"Barbara Jean's performance of ""My Idaho Home” ends with a fatal finale."
tt0073440,Jrn-OprEMLI,Opal takes a deep analysis of a junkyard.
tt0073440,hT_G4j4nI-8,"After being booed offstage, Sueleen Gay emotionally agrees to strip in hopes of becoming a star."
tt0073440,oNpeuCWJgCc,"Haven Hamilton performs ""Keep a-Goin."""
tt0073440,eclUi6kVFcM,Tom rings up Linnea at her family's home.
tt0073440,fO8fKHbg4kw,"Wade insults singer Tommy Brown for acting too ""white"" and starts a fight."
tt0073440,mr1bVID2qao,Barbara Jean succumbs to her stress and anxiety on stage.
tt5952594,clDZPzwANeE,Myles tells Roman that the program - and Marquis' life - are coming to an end.
tt5952594,hOH-oOCfsX4,Roman showcases Marquis to the auctioneers.
tt5952594,2qyJ5r7Wink,"Taking advantage of the damaged prison gates, Roman frees Marquis."
tt5952594,_wkTjOjTafw,Roman struggles to train an ornery stallion.
tt5952594,4ZiwLxnl_9k,Roman punches a horse after he is unable to get it under control.
tt5952594,lGAADj8laqo,"Roman apologizes to Martha, his daughter."
tt5952594,cpZIiyp8juU,"As a thunderstorm stirs up the horses, the convicts rally to get them inside."
tt5952594,23uAYGDpS_I,Roman attends his first anger management session.
tt0118688,xSJaxpJHf-s,Mr. Freeze traps Batman in his rocket bomb.
tt0118688,erE6UlOi3E0,Batman and Robin's race for Mr. Freeze.
tt0118688,UIxwyNULzdk,Robin is prepared for Poison Ivy's deadly kiss.
tt0118688,MGJlq-gjQj8,Batman & Robin fight Poison Ivy & Bane.
tt0118688,OE7aSKZDjTo,"After thawing Gotham City, Batman deals with Mr. Freeze."
tt5952594,Zbmc8C3GaC8,Roman invites Martha to the horse auction to reconcile with her.
tt0118688,L6w-80CFfAs,Batman and Robin confront Mr. Freeze.
tt0118688,gSG9bZu1NtM,Poison Ivy and Bane break Mr. Freeze out of Arkham Asylum.
tt5952594,ZPDbP3gms30,"Dan stabs Henry in the yard, and swiftly faces retribution."
tt0118688,gnallHWgupY,Gothamites bid on Poison Ivy.
tt0118688,k6dRH6fO3Xw,"Mr. Freeze freezes Gotham while, Batman, Robin and Batgirl race to stop him."
tt0118688,73Pm3rkTzb0,Poison Ivy gives Dr. Woodrue a kiss of death.
tt2599716,es2xkV9Be20,Wei tells the story of how his attempted robbery led to Wu's sister's death.
tt2599716,BrGfzBJW-Do,Wu takes Zhong's daughter Miao hostage and demands that Zhong kill himself in order to save her.
tt2599716,IMlPpjJlzFA,"Zhong tries to arrest Wu, but Wu tries to commit suicide."
tt2599716,ZyXHxrg-zTA,Zhong fights one of Wu's henchmen in order to free three hostages.
tt2599716,YbM3eHylkqY,"After a brief bomb scare, Zhong is knocked out and taken hostage by Wu."
tt2599716,o-HlGWzIqec,Wu tells Zhong about his past as an underground street fighter.
tt2599716,yUVhyWMVx-A,"The police tries to take out Wu, but the gangster is one step ahead."
tt2599716,VP8hyYS5WjU,Zhong escapes Wu's clutches.
tt2599716,2xbv4AnWS3Q,The SWAT team breaks into Wu's compound and frees the hostages while Zhong chases after the kidnapper.
tt8079248,oMH9kIyIl1I,"Jack screams his emotions into ""Help!"" as he sees Ellie with her new boyfriend."
tt8079248,5EN4MulDX_A,Jack's Beatles covers take off in a hurry.
tt8079248,5VgRuLQgeSE,"Jack plays ""Yesterday"" for his friends, who've never heard of The Beatles."
tt2599716,T16_n7praO4,Zhong tells Wu how his sister really died.
tt8079248,Q_UdYBBk9XI,"Jack performs ""Back in the USSR"" in modern-day Russia."
tt8079248,XDlC8NyBBro,"Jack repeatedly tries to play ""Let It Be"" for his parents."
tt8079248,56v74zFOV58,Jack confesses to his fans and to Ellie.
tt8079248,yyPkV_leKEY,Ellie pours out her heart to Jack.
tt8079248,PIHPbvviS2w,Ed Sheeran challenges Jack to a songwriting competition.
tt8079248,0ONU_H0EjIg,John Lennon inspires Jack to take action with his love and lies.
tt8079248,SrvRkUwIFfk,Jack realizes his complicated feelings for Ellie.
tt4532826,5Svd15hqUfs,Will leads the commoners against the Sheriff while Robin and Marion carry out an underground heist.
tt5164214,FGWPKiI0YJQ,Debbie goes over the plan with her crew.
tt5164214,1VEMit7JERo,Daphne reveals her part in the heist.
tt4532826,_AElcgYtxpA,Robin & Little John steal a carriage to save Marion.
tt4532826,0tnKF_qcXTo,Robin and Little John raid the Sheriff's coffers.
tt4532826,V9GnOAfI4w4,Robin fights to save Little John's son from being beheaded.
tt4532826,tMcUZSJ3xDY,Robin faces off against Little John.
tt4532826,O9Q_5-rAw_k,Little John trains Robin into an unparalleled warrior.
tt4532826,6hUiaXXj_Hg,Gisbourne pursues Robin and Marian over the rooftops.
tt4532826,6LyYxpkxILE,Will is appointed the new Sheriff and issues an arrest warrant for Robin Hood.
tt4532826,Oe_cBDzqBUI,Little John saves Robin and helps him hang the Sheriff.
tt4532826,wTf4njh9TnE,Robin inspires the townsfolk to revolt against the Sheriff and take back their town.
tt5164214,QsP5Y1-eUIM,Debbie reveals her masterful diversion to the crew.
tt5164214,HiPRBsFF-zU,John investigates the missing diamond necklace.
tt5164214,vBtG9eqgf2Q,Rose and Amita trick their way into replicating the necklace.
tt5164214,CgwNoOUtr7s,"Debbie tells the story of her patsy, Claude."
tt5164214,7Wyjo_hrIbM,The crew works in tandem to steal the necklace at the Met Gala.
tt5164214,iaTG4JflfqM,Debbie tells an insurance investigator she may know who stole the necklace.
tt5164214,1CTjGKT-hDY,The crew splits and separates the necklace.
tt5164214,OkBaZLq7gnU,Debbie cons her way into a hotel room.
tt0058672,ZhGme4W06Kk,"The gang arranges to lose the police at a wrestling match, but Elizabeth gets distracted by the hot Turkish wrestlers."
tt0058672,Ua4pj7Sxy-8,Ali questions the validity of the evidence Arthur has acquired.
tt0058672,5LvcBgWzjwc,Giulio descends into the museum to replace the real dagger with a replica without triggering the floor alarm.
tt0058672,WbFri7eX_YA,"Walter worries about changes in the plan, and Elizabeth tries to distract him."
tt0058672,Izp0m24gYRU,"After a bird sets off the alarm in the museum, Ali pieces together the details of the heist, and the gang ends up in prison."
tt0058672,5hriUO428pw,"When Arthur is unable to hold the weight of Giulio on the rope, Walter helps to pull him into position."
tt0058672,vITX2N0hpYE,The gang decides to test Arthur by challenging him to drag the sofa using only his arms.
tt0058672,JfsgeCwAYEM,"At a traveling fair, Elizabeth spies a replica of a jewel-encrusted dagger and formulates a plan for stealing it."
tt0058672,9ZBPZ4b5LRw,"When Arthur refuses to cross the roof at night, Walter agrees to make the trip in broad daylight."
tt0058672,55uK9Lg3TaY,"Elizabeth and Walter visit mechanical expert Cedric, who demonstrates the museum's alarm system."
tt0058672,hIokX-nhQd8,"Arthur denies all involvement in terrorism, and agrees to work with the Turkish police to clear his name."
tt2495118,6nmLldKD8fw,Ip Man spars with martial arts master Ng.
tt2495118,nEAgLZRGV98,Rival martial arts gangs go after Master Ng during the Lion Dance ceremony.
tt2495118,JKPRgXq8K1E,Wang Dong fights in a crooked boxing match.
tt2495118,AvNNkDEqjdQ,Ip Man shows Leung Sheung his Wing Chun skills.
tt2495118,Fo16J2G4bvU,Ip Man fights the Dragon.
tt2495118,eUGtEOY5ZLE,Ip Man meets his former student.
tt2495118,Y7DGxkezqSc,Ip Man and his disciples fight the Dragon.
tt2495118,xjYdRu4FiyA,Emotions run high at Ip Man's New Year's celebration.
tt2495118,vcURIKX8710,Ip Man's reputation grows after a street fight.
tt2495118,kurx75GAz74,Ip Man puts a drunk in his place when he harasses Jenny.
tt7634968,eLKbRagkB7M,Ali learns to 'share' with Will.
tt7634968,hF_9GQFISow,Ali can't escape all the men's thoughts running through her head.
tt7634968,taOda6ZwWyw,All hell breaks loose when a drunken Ali spills the beans at Mari's wedding.
tt7634968,fhK8qpO-iD4,Ali passes up the promotion for success on her terms.
tt7634968,08cPFt1GzBs,"Ali makes advances on her neighbor, who isn't what she expected."
tt7634968,Dys_AAhlGqU,Ali's co-workers present a racist sales pitch to Jamal and his father.
tt7634968,pWfB7jrCgxk,Ali's manipulations come crashing down around her.
tt7634968,aNbtnYXp9-k,"After a night with Will, Ali does the walk of shame...and brings something with her."
tt7634968,KDXK5R3f01I,Ali parties hard and wakes with a surprising new power.
tt7634968,75k4CoAyT4I,Sparks fly between Ali and Will over pool.
tt6017942,R76ux4iCRzI,The Cleaners explain why Eli was put on Earth.
tt6017942,QKbA0PxeoaM,Taylor urinates on the floor in a gas station.
tt6017942,zwLOflhZOBg,The mysterious Cleaners track their missing gun.
tt6017942,4xtCQLbXDqY,Eli saves his brother Jimmy with the gun's explosive force.
tt6017942,zjXn9UGZt4o,Lee beats up Jimmy for dancing with Milly.
tt6017942,cXlRo6pJ9ig,Jimmy robs Hal's safe with disastrous consequences.
tt6017942,7rYqBdJdnqo,Eli and Jimmy rob Lee at gunpoint.
tt6017942,KTIw9F3TY88,The Cleaners freeze everyone but Elijah.
tt6017942,gp6FX1H99NA,Eli retrieves a sci-fi gun from an abandoned warehouse.
tt6017942,A5CndWt2xrY,Eli shows Jimmy and Milly the gun's power.
tt0046754,_YMLnL33X78,"At Maria's funeral, Oscar recalls the popularity Maria achieved upon the release of her first motion picture."
tt0046754,PrBVgtAeNhE,Kirk and Alberto face off in an argument caused by their competing affections for Maria.
tt0046754,6oxCZ2CyGII,Alberto berates Maria until he receives a slap from the Count.
tt0046754,x_6ZpxB4xIc,Harry goes backstage at a Madrid nightclub to meet Maria and convince her to see a movie producer.
tt0046754,8Q2WgdOSfms,Maria poses for a statue and Harry gives her away at her wedding to the Count.
tt0046754,i07yEczcujQ,Oscar recalls the way Maria held off the advances of Alberto and everyone else.
